Code,Description
M8656,Other chronic haematogenous osteomyelitis
M8657,Other chronic haematogenous osteomyelitis
M8658,Other chronic haematogenous osteomyelitis
M8659,Other chronic haematogenous osteomyelitis
M866,Other chronic osteomyelitis
M8660,Other chronic osteomyelitis
M8661,Other chronic osteomyelitis
M8662,Other chronic osteomyelitis
M8663,Other chronic osteomyelitis
M8664,Other chronic osteomyelitis
M8665,Other chronic osteomyelitis
M8666,Other chronic osteomyelitis
M8667,Other chronic osteomyelitis
M8668,Other chronic osteomyelitis
M8669,Other chronic osteomyelitis
M868,Other osteomyelitis
M8680,Other osteomyelitis
M8681,Other osteomyelitis
M8682,Other osteomyelitis
M8683,Other osteomyelitis
M8684,Other osteomyelitis
M8685,Other osteomyelitis
M8686,Other osteomyelitis
M8687,Other osteomyelitis
M8688,Other osteomyelitis
M8689,Other osteomyelitis
M869,"Osteomyelitis, unspecified"
M8690,"Osteomyelitis, unspecified"
M8691,"Osteomyelitis, unspecified"
M8692,"Osteomyelitis, unspecified"
M8693,"Osteomyelitis, unspecified"
M8694,"Osteomyelitis, unspecified"
M8695,"Osteomyelitis, unspecified"
M8696,"Osteomyelitis, unspecified"
M8697,"Osteomyelitis, unspecified"
M8698,"Osteomyelitis, unspecified"
M8699,"Osteomyelitis, unspecified"
M87,Osteonecrosis
M870,Idiopathic aseptic necrosis of bone
M8700,Idiopathic aseptic necrosis of bone
M8701,Idiopathic aseptic necrosis of bone
M8702,Idiopathic aseptic necrosis of bone
M8703,Idiopathic aseptic necrosis of bone
M8704,Idiopathic aseptic necrosis of bone
M8705,Idiopathic aseptic necrosis of bone
M8706,Idiopathic aseptic necrosis of bone
M8707,Idiopathic aseptic necrosis of bone
M8708,Idiopathic aseptic necrosis of bone
M8709,Idiopathic aseptic necrosis of bone
M871,Osteonecrosis due to drugs
M8710,Osteonecrosis due to drugs
M8711,Osteonecrosis due to drugs
M8712,Osteonecrosis due to drugs
M8713,Osteonecrosis due to drugs
M8714,Osteonecrosis due to drugs
M8715,Osteonecrosis due to drugs
M8716,Osteonecrosis due to drugs
M8717,Osteonecrosis due to drugs
M8718,Osteonecrosis due to drugs
M8719,Osteonecrosis due to drugs
M872,Osteonecrosis due to previous trauma
M8720,Osteonecrosis due to previous trauma
M8721,Osteonecrosis due to previous trauma
M8722,Osteonecrosis due to previous trauma
M8723,Osteonecrosis due to previous trauma
M8724,Osteonecrosis due to previous trauma
M8725,Osteonecrosis due to previous trauma
M8726,Osteonecrosis due to previous trauma
M8727,Osteonecrosis due to previous trauma
M8728,Osteonecrosis due to previous trauma
M8729,Osteonecrosis due to previous trauma
M873,Other secondary osteonecrosis
M8730,Other secondary osteonecrosis
M8731,Other secondary osteonecrosis
M8732,Other secondary osteonecrosis
M8733,Other secondary osteonecrosis
M8734,Other secondary osteonecrosis
M8735,Other secondary osteonecrosis
M8736,Other secondary osteonecrosis
M8737,Other secondary osteonecrosis
M8738,Other secondary osteonecrosis
M8739,Other secondary osteonecrosis
M878,Other osteonecrosis
M8780,Other osteonecrosis
M8781,Other osteonecrosis
M8782,Other osteonecrosis
M8783,Other osteonecrosis
M8784,Other osteonecrosis
M8785,Other osteonecrosis
M8786,Other osteonecrosis
M8787,Other osteonecrosis
M8788,Other osteonecrosis
M8789,Other osteonecrosis
M879,"Osteonecrosis, unspecified"
M8790,"Osteonecrosis, unspecified"
M8791,"Osteonecrosis, unspecified"
M8792,"Osteonecrosis, unspecified"
M8793,"Osteonecrosis, unspecified"
M8794,"Osteonecrosis, unspecified"
M8795,"Osteonecrosis, unspecified"
M8796,"Osteonecrosis, unspecified"
M8797,"Osteonecrosis, unspecified"
M8798,"Osteonecrosis, unspecified"
M8799,"Osteonecrosis, unspecified"
M88,Paget disease of bone [osteitis deformans]
M880,Paget disease of skull
M888,Paget disease of other bones
M8880,Paget disease of other bones
M8881,Paget disease of other bones
M8882,Paget disease of other bones
M8883,Paget disease of other bones
M8884,Paget disease of other bones
M8885,Paget disease of other bones
M8886,Paget disease of other bones
M8887,Paget disease of other bones
M8888,Paget disease of other bones
M8889,Paget disease of other bones
M889,"Paget disease of bone, unspecified"
M8890,"Paget disease of bone, unspecified"
M8891,"Paget disease of bone, unspecified"
M8892,"Paget disease of bone, unspecified"
M8893,"Paget disease of bone, unspecified"
M8894,"Paget disease of bone, unspecified"
M8895,"Paget disease of bone, unspecified"
M8896,"Paget disease of bone, unspecified"
M8897,"Paget disease of bone, unspecified"
M8898,"Paget disease of bone, unspecified"
M8899,"Paget disease of bone, unspecified"
M89,Other disorders of bone
M890,Algoneurodystrophy
M8900,Algoneurodystrophy
M8901,Algoneurodystrophy
M8902,Algoneurodystrophy
M8903,Algoneurodystrophy
M8904,Algoneurodystrophy
M8905,Algoneurodystrophy
M8906,Algoneurodystrophy
M8907,Algoneurodystrophy
M8908,Algoneurodystrophy
M8909,Algoneurodystrophy
M891,Epiphyseal arrest
M8910,Epiphyseal arrest
M8911,Epiphyseal arrest
M8912,Epiphyseal arrest
M8913,Epiphyseal arrest
M8914,Epiphyseal arrest
M8915,Epiphyseal arrest
M8916,Epiphyseal arrest
M8917,Epiphyseal arrest
M8918,Epiphyseal arrest
M8919,Epiphyseal arrest
M892,Other disorders of bone development and growth
M8920,Other disorders of bone development and growth
M8921,Other disorders of bone development and growth
M8922,Other disorders of bone development and growth
M8923,Other disorders of bone development and growth
M8924,Other disorders of bone development and growth
M8925,Other disorders of bone development and growth
M8926,Other disorders of bone development and growth
M8927,Other disorders of bone development and growth
M8928,Other disorders of bone development and growth
M8929,Other disorders of bone development and growth
M893,Hypertrophy of bone
M8930,Hypertrophy of bone
M8931,Hypertrophy of bone
M8932,Hypertrophy of bone
M8933,Hypertrophy of bone
M8934,Hypertrophy of bone
M8935,Hypertrophy of bone
M8936,Hypertrophy of bone
M8937,Hypertrophy of bone
M8938,Hypertrophy of bone
M8939,Hypertrophy of bone
M894,Other hypertrophic osteoarthropathy
M8940,Other hypertrophic osteoarthropathy
M8941,Other hypertrophic osteoarthropathy
M8942,Other hypertrophic osteoarthropathy
M8943,Other hypertrophic osteoarthropathy
M8944,Other hypertrophic osteoarthropathy
M8945,Other hypertrophic osteoarthropathy
M8946,Other hypertrophic osteoarthropathy
M8947,Other hypertrophic osteoarthropathy
M8948,Other hypertrophic osteoarthropathy
M8949,Other hypertrophic osteoarthropathy
M895,Osteolysis
M8950,Osteolysis
M8951,Osteolysis
M8952,Osteolysis
M8953,Osteolysis
M8954,Osteolysis
M8955,Osteolysis
M8956,Osteolysis
M8957,Osteolysis
M8958,Osteolysis
M8959,Osteolysis
M896,Osteopathy after poliomyelitis
M8960,Osteopathy after poliomyelitis
M8961,Osteopathy after poliomyelitis
M8962,Osteopathy after poliomyelitis
M8963,Osteopathy after poliomyelitis
M8964,Osteopathy after poliomyelitis
M8965,Osteopathy after poliomyelitis
M8966,Osteopathy after poliomyelitis
M8967,Osteopathy after poliomyelitis
M8968,Osteopathy after poliomyelitis
M8969,Osteopathy after poliomyelitis
M898,Other specified disorders of bone
M8980,Other specified disorders of bone
M8981,Other specified disorders of bone
M8982,Other specified disorders of bone
M8983,Other specified disorders of bone
M8984,Other specified disorders of bone
M8985,Other specified disorders of bone
M8986,Other specified disorders of bone
M8987,Other specified disorders of bone
M8988,Other specified disorders of bone
M8989,Other specified disorders of bone
M899,"Disorder of bone, unspecified"
M8990,"Disorder of bone, unspecified"
M8991,"Disorder of bone, unspecified"
M8992,"Disorder of bone, unspecified"
M8993,"Disorder of bone, unspecified"
M8994,"Disorder of bone, unspecified"
M8995,"Disorder of bone, unspecified"
M8996,"Disorder of bone, unspecified"
M8997,"Disorder of bone, unspecified"
M8998,"Disorder of bone, unspecified"
M8999,"Disorder of bone, unspecified"
M90,Osteopathies in diseases classified elsewhere
M900,Tuberculosis of bone
M9000,Tuberculosis of bone
M9001,Tuberculosis of bone
M9002,Tuberculosis of bone
M9003,Tuberculosis of bone
M9004,Tuberculosis of bone
M9005,Tuberculosis of bone
M9006,Tuberculosis of bone
M9007,Tuberculosis of bone
M9008,Tuberculosis of bone
M9009,Tuberculosis of bone
M901,Periostitis in other infectious diseases classified elsewhere
M9010,Periostitis in other infectious diseases classified elsewhere
M9011,Periostitis in other infectious diseases classified elsewhere
M9012,Periostitis in other infectious diseases classified elsewhere
M9013,Periostitis in other infectious diseases classified elsewhere
M9014,Periostitis in other infectious diseases classified elsewhere
M9015,Periostitis in other infectious diseases classified elsewhere
M9016,Periostitis in other infectious diseases classified elsewhere
M9017,Periostitis in other infectious diseases classified elsewhere
M9018,Periostitis in other infectious diseases classified elsewhere
M9019,Periostitis in other infectious diseases classified elsewhere
M902,Osteopathy in other infectious diseases classified elsewhere
M9020,Osteopathy in other infectious diseases classified elsewhere
M9021,Osteopathy in other infectious diseases classified elsewhere
M9022,Osteopathy in other infectious diseases classified elsewhere
M9023,Osteopathy in other infectious diseases classified elsewhere
M9024,Osteopathy in other infectious diseases classified elsewhere
M9025,Osteopathy in other infectious diseases classified elsewhere
M9026,Osteopathy in other infectious diseases classified elsewhere
M9027,Osteopathy in other infectious diseases classified elsewhere
M9028,Osteopathy in other infectious diseases classified elsewhere
M9029,Osteopathy in other infectious diseases classified elsewhere
M903,Osteonecrosis in caisson disease
M9030,Osteonecrosis in caisson disease
M9031,Osteonecrosis in caisson disease
M9032,Osteonecrosis in caisson disease
M9033,Osteonecrosis in caisson disease
M9034,Osteonecrosis in caisson disease
M9035,Osteonecrosis in caisson disease
M9036,Osteonecrosis in caisson disease
M9037,Osteonecrosis in caisson disease
M9038,Osteonecrosis in caisson disease
M9039,Osteonecrosis in caisson disease
M904,Osteonecrosis due to haemoglobinopathy
M9040,Osteonecrosis due to haemoglobinopathy
M9041,Osteonecrosis due to haemoglobinopathy
M9042,Osteonecrosis due to haemoglobinopathy
M9043,Osteonecrosis due to haemoglobinopathy
M9044,Osteonecrosis due to haemoglobinopathy
M9045,Osteonecrosis due to haemoglobinopathy
M9046,Osteonecrosis due to haemoglobinopathy
M9047,Osteonecrosis due to haemoglobinopathy
M9048,Osteonecrosis due to haemoglobinopathy
M9049,Osteonecrosis due to haemoglobinopathy
M905,Osteonecrosis in other diseases classified elsewhere
M9050,Osteonecrosis in other diseases classified elsewhere
M9051,Osteonecrosis in other diseases classified elsewhere
M9052,Osteonecrosis in other diseases classified elsewhere
M9053,Osteonecrosis in other diseases classified elsewhere
M9054,Osteonecrosis in other diseases classified elsewhere
M9055,Osteonecrosis in other diseases classified elsewhere
M9056,Osteonecrosis in other diseases classified elsewhere
M9057,Osteonecrosis in other diseases classified elsewhere
M9058,Osteonecrosis in other diseases classified elsewhere
M9059,Osteonecrosis in other diseases classified elsewhere
M906,Osteitis deformans in neoplastic disease
M9060,Osteitis deformans in neoplastic disease
M9061,Osteitis deformans in neoplastic disease
M9062,Osteitis deformans in neoplastic disease
M9063,Osteitis deformans in neoplastic disease
M9064,Osteitis deformans in neoplastic disease
M9065,Osteitis deformans in neoplastic disease
M9066,Osteitis deformans in neoplastic disease
M9067,Osteitis deformans in neoplastic disease
M9068,Osteitis deformans in neoplastic disease
M9069,Osteitis deformans in neoplastic disease
M907,Fracture of bone in neoplastic disease
M9070,Fracture of bone in neoplastic disease
M9071,Fracture of bone in neoplastic disease
M9072,Fracture of bone in neoplastic disease
M9073,Fracture of bone in neoplastic disease
M9074,Fracture of bone in neoplastic disease
M9075,Fracture of bone in neoplastic disease
M9076,Fracture of bone in neoplastic disease
M9077,Fracture of bone in neoplastic disease
M9078,Fracture of bone in neoplastic disease
M9079,Fracture of bone in neoplastic disease
M908,Osteopathy in other diseases classified elsewhere
M9080,Osteopathy in other diseases classified elsewhere
M9081,Osteopathy in other diseases classified elsewhere
M9082,Osteopathy in other diseases classified elsewhere
M9083,Osteopathy in other diseases classified elsewhere
M9084,Osteopathy in other diseases classified elsewhere
M9085,Osteopathy in other diseases classified elsewhere
M9086,Osteopathy in other diseases classified elsewhere
M9087,Osteopathy in other diseases classified elsewhere
M9088,Osteopathy in other diseases classified elsewhere
M9089,Osteopathy in other diseases classified elsewhere
M91,Juvenile osteochondrosis of hip and pelvis
M910,Juvenile osteochondrosis of pelvis
M911,Juvenile osteochondrosis of head of femur [Legg-Calv̩-Perthes]
M912,Coxa plana
M913,Pseudocoxalgia
M918,Other juvenile osteochondrosis of hip and pelvis
M9180,Other juvenile osteochondrosis of hip and pelvis
M919,"Juvenile osteochondrosis of hip and pelvis, unspecified"
M9190,"Juvenile osteochondrosis of hip and pelvis, unspecified"
M92,Other juvenile osteochondrosis
M920,Juvenile osteochondrosis of humerus
M921,Juvenile osteochondrosis of radius and ulna
M922,Juvenile osteochondrosis of hand
M923,Other juvenile osteochondrosis of upper limb
M924,Juvenile osteochondrosis of patella
M925,Juvenile osteochondrosis of tibia and fibula
M926,Juvenile osteochondrosis of tarsus
M927,Juvenile osteochondrosis of metatarsus
M928,Other specified juvenile osteochondrosis
M929,"Juvenile osteochondrosis, unspecified"
M93,Other osteochondropathies
M930,Slipped upper femoral epiphysis (nontraumatic)
M931,Kienb̦ck disease of adults
M932,Osteochondritis dissecans
M938,Other specified osteochondropathies
M939,"Osteochondropathy, unspecified"
M94,Other disorders of cartilage
M940,Chondrocostal junction syndrome [Tietze]
M941,Relapsing polychondritis
M9410,Relapsing polychondritis
M9411,Relapsing polychondritis
M9412,Relapsing polychondritis
M9413,Relapsing polychondritis
M9414,Relapsing polychondritis
